id,texto
1,"Fui cobrado duas vezes na fatura deste mes, o valor total ja saiu da minha conta."
2,Gostaria de saber como altero meu endereco de cadastro no aplicativo.
3,Identifiquei uma transacao que nao reconheco no meu extrato de hoje.
4,"O atendimento da agencia foi otimo, o gerente resolveu tudo rapido."
5,"Recebi uma mensagem estranha pedindo meus dados bancarios, acho que e uma fraude."
6,Quando sai a nova atualizacao do aplicativo?
7,Meu cartao foi clonado e ja aparecem compras que nao fiz.
8,Queria elogiar a rapidez na abertura da minha conta digital.
9,"Nao concordo com a taxa de manutencao cobrada este mes, parece um valor errado."
10,Como funciona o programa de pontos do cartao de credito?
11,Estou tentando falar com o suporte ha tres dias e ninguem responde sobre um saque que nao caiu na minha conta.
12,Achei a interface do novo aplicativo bem mais facil de usar.
13,"Preciso de uma segunda via do meu cartao, o antigo venceu."
14,Foi descontado um valor de seguro que eu nunca contratei.
15,Muito obrigado pela agilidade na aprovacao do meu emprestimo.
16,Gostaria de saber o horario de funcionamento da agencia central.
17,Minha senha parou de funcionar e nao consigo acessar minha conta ha dois dias.
18,Recebi um boleto de cobranca de um servico que ja cancelei ha meses.
19,O aplicativo trava toda vez que tento fazer um Pix acima de mil reais.
20,"Adorei a nova funcao de investimentos automaticos, muito pratica."
21,Preciso atualizar meu numero de telefone cadastrado.
22,Notei um saque em caixa eletronico em outra cidade que eu nunca visitei.
23,A taxa de cambio aplicada na minha compra internacional ficou bem acima da taxa oficial do dia.
24,"Queria elogiar o novo layout do extrato, ficou bem mais claro."
25,Como faco para encerrar minha conta poupanca?
26,Estou muito insatisfeito com o tempo de espera no chat de atendimento.
27,Meu limite do cartao foi reduzido sem nenhum aviso previo.
28,Excelente iniciativa o novo programa de cashback.
29,Alguem usou meus dados para abrir um emprestimo que eu nao fiz.
30,Qual o valor minimo para abrir uma conta investimento?
